NN_pairwise: mean: 0.08242106106482412, std: 0.0
PNN_pairwise: mean: 0.09470545386863967, std: 0.0
NN_naive: mean: 0.06599874472546817, std: 0.011360005058581766
NN_pairwise: mean: 0.08246879658076878, std: 0.016877209597973473
PNN_pairwise: mean: 0.09371923377794107, std: 0.024941465636393587
PNN_pairwise: mean: 0.09227268581590008, std: 0.025537854800917754
NN_pairwise: mean: 0.11902360785723835, std: 0.0
NN_pairwise: mean: 0.09641631984242306, std: 0.0
NN_pairwise: mean: 0.09846189132534812, std: 0.022529569403235295
NN_pairwise: mean: 0.09281215277534259, std: 0.023484596151608896
NN_naive: mean: 0.11255920947261658, std: 0.003708032550995642
NN_pairwise: mean: 0.10632395159412973, std: 0.0
NN_pairwise: mean: 0.10479651010472664, std: 0.029112924804902227
NN_pairwise: mean: 0.10306758580617094, std: 0.03161883448333068
NN_pairwise: mean: 0.10095525761462365, std: 0.02965647056604451
PNN_pairwise: mean: 0.09146019186676302, std: 0.024514554902807083
NN_pairwise: mean: 0.09977955228752465, std: 0.027602346785429718
PDDT_pairwise: mean: 0.17348568527406807, std: 0.0
NN_pairwise: mean: 0.09904113610260053, std: 0.025098846111473182
NN_pairwise: mean: 0.10127651594054658, std: 0.026380383318436434
PDDT_pairwise: mean: 0.13901278911121132, std: 0.0
PDDT_pairwise: mean: 0.12020238003304633, std: 0.0
